Tool,Platform,Encryption_Speed (ms),Decryption_Speed (ms),CPU_Usage (%),Memory_Usage (MB),Security_Level,Compatibility
DES,MacOS,7.4,5.4,6.72,358.27,Low,Medium
Blowfish,MacOS,8.57,0.87,49.54,405.09,High,High
DES,Windows,0.89,8.85,44.37,149.8,High,High
ECC,Android,7.18,9.88,43.49,149.56,Low,Low
ECC,Windows,5.71,8.85,19.11,465.85,Low,High
Blowfish,Windows,1.64,4.69,20.87,382.88,High,High
ECC,Linux,9.53,3.13,32.34,196.18,Low,High
Blowfish,Android,7.46,0.85,20.93,251.43,High,Medium
AES,Windows,8.42,4.27,5.83,485.18,Medium,Medium
RSA,Linux,8.84,7.75,17.99,156.3,Low,High
Blowfish,Linux,7.91,0.85,26.21,157.43,High,Low
RSA,Linux,2.32,1.57,47.47,495.89,Medium,Medium
Blowfish,MacOS,0.58,4.83,45.21,194.98,Low,High
Blowfish,Linux,1.6,9.71,33.94,212.07,Low,High
AES,Android,0.55,3.34,37.78,322.89,High,Low
DES,Linux,7.5,0.71,28.88,93.43,High,Low
Blowfish,MacOS,0.9,5.49,44.43,429.6,Low,High
ECC,MacOS,3.39,6.26,24.7,312.52,High,High
AES,MacOS,8.98,6.34,12.16,27.39,High,Low
DES,Linux,9.86,4.63,30.4,208.18,High,High
Blowfish,Windows,7.19,5.17,49.71,73.08,Medium,Low
Blowfish,Windows,7.43,7.08,6.06,360.95,Medium,Low
RSA,iOS,8.58,1.2,28.57,30.86,Medium,Low
RSA,MacOS,9.72,1.47,32.91,407.74,Low,Low
RSA,Android,3.16,0.8,17.81,477.65,High,High
DES,Android,0.69,5.93,18.05,40.56,High,Low
DES,Windows,4.92,1.81,9.37,265.38,Medium,Medium
DES,Linux,1.44,6.32,22.68,300.02,Low,Low
ECC,Windows,5.79,5.73,22.52,324.1,Medium,Low
RSA,iOS,0.62,6.5,21.96,261.16,Medium,High
AES,MacOS,8.6,5.51,32.67,471.21,Low,Low
AES,Windows,2.22,5.99,43.73,287.44,Low,High
RSA,Android,2.06,7.42,7.01,317.79,Medium,Low
RSA,MacOS,2.18,5.87,17.34,125.17,Medium,Low
Blowfish,Windows,9.84,5.82,17.79,148.97,High,Medium
RSA,MacOS,6.8,3.37,7.09,389.05,High,Medium
RSA,iOS,1.37,1.21,33.19,322.34,Low,Low
RSA,Windows,3.18,9.46,22.92,469.35,High,Low
ECC,Windows,7.78,1.85,34.86,472.53,High,Medium
DES,Linux,2.59,6.62,42.04,10.39,Low,High
ECC,iOS,3.22,6.38,8.17,150.03,Low,Low
RSA,Linux,7.77,2.02,18.08,429.97,Low,High
DES,Windows,9.32,7.67,18.07,394.28,High,Low
RSA,MacOS,3.69,5.67,30.07,478.71,Medium,High
AES,iOS,6.67,4.36,7.14,422.34,High,Medium
RSA,Windows,8.09,3.27,27.3,257.59,Low,High
DES,iOS,5.62,7.23,5.99,274.39,Low,Medium
Blowfish,Android,5.93,2.18,11.82,352.33,Low,High
AES,Linux,4.7,6.97,31.14,293.59,Low,Medium
ECC,MacOS,3.78,5.76,38.32,39,Medium,Low
RSA,iOS,2.47,2.23,32.75,91.69,High,Medium
AES,iOS,6.23,7,18.73,415.08,High,Low
Blowfish,MacOS,4.32,8.02,48.59,224.76,Low,Low
Blowfish,Linux,5.46,2.13,7.96,225.27,Medium,Low
DES,iOS,8.05,0.95,49.07,202.73,Medium,Medium
DES,MacOS,5.85,1.25,7.32,467.87,Low,High
Blowfish,Linux,8.5,8.25,29.8,183.34,Low,Low
Blowfish,Windows,7.28,7.35,25.09,201.17,Low,Low
ECC,Linux,1.39,6.81,48.15,467.46,Medium,Medium
DES,iOS,1.19,9.47,22.78,38.21,Low,Low
ECC,iOS,4.77,7.26,26.95,229.3,High,Low
DES,Windows,4.85,5.36,27.64,54.2,Low,High
RSA,Windows,5.96,8.56,5.28,324.14,Medium,Medium
RSA,iOS,5.11,2.7,47.43,162.87,High,Low
AES,Windows,2.81,9.43,21.26,425.73,High,High
Blowfish,iOS,2.11,7.74,20.9,390.94,Medium,High
DES,MacOS,8.07,2.16,13.11,476.6,Medium,High
DES,MacOS,5.47,2.89,6.99,117.96,Low,Medium
DES,MacOS,7.57,9.55,5.76,280.04,High,Medium
RSA,Linux,6.34,1.24,21.37,237.22,Low,High
RSA,Linux,1.45,3.89,9.39,108.8,Low,Medium
Blowfish,Linux,9.29,4.64,9.56,319.07,Low,Low
AES,iOS,4.24,6.6,28.85,185.56,High,Low
RSA,MacOS,0.53,8.83,18.03,66.72,Medium,Medium
Blowfish,Android,8.09,7.79,15.58,239.96,Low,Medium
Blowfish,Windows,9.63,7.66,39.33,58.7,Low,Medium
ECC,Linux,9.4,6.46,13.32,414.83,High,Low
AES,iOS,3.42,7.64,38.18,460.77,High,High
Blowfish,Linux,9.13,5.66,12.57,209.26,Low,Medium
DES,Linux,3.13,3.96,22.67,209.53,High,Low
DES,Android,2.75,2.79,39.95,121.53,Medium,Low
DES,MacOS,9.64,4.02,27.02,30.63,Low,Low
RSA,Linux,0.92,9.47,33.62,126.85,Low,Low
ECC,Linux,5.03,4.72,14.92,317.63,High,High
DES,Windows,4.65,3.51,31.31,247.26,Low,High
DES,Android,0.7,7.88,39.02,348.48,High,High
ECC,MacOS,1.85,4.04,44.46,412.98,Medium,High
AES,MacOS,6.95,4.9,47.84,242.5,Low,High
AES,iOS,6.68,9.41,49.74,326.63,Low,High
ECC,Android,6.98,5.6,31.08,307.89,High,Medium
Blowfish,Linux,7.76,6.43,35.85,319.72,Low,Medium
DES,iOS,3.79,1.07,47.52,162.09,Low,Low
Blowfish,Android,9.09,7.46,24.77,299.21,High,Medium
RSA,iOS,6.56,3.04,48.19,498.28,Medium,Low
DES,Android,7.81,7.58,30.51,347.24,Low,Medium
ECC,Android,3.35,7.87,43.5,318.25,Medium,Medium
DES,Android,7.8,6.97,8.84,478.87,High,High
Blowfish,Android,4.52,0.92,22.61,393.62,Medium,High
Blowfish,Android,8.16,2.68,33.32,59.19,Medium,High
Blowfish,Android,2.16,3.88,46.35,99.67,Medium,Low
RSA,Windows,9.82,5.44,22.83,449.49,Low,Medium
ECC,MacOS,2.19,6.73,18.64,230.21,High,High
RSA,Windows,1.26,2.21,27.55,361.11,Low,Medium
DES,Windows,1.96,4.67,45.72,240.48,High,High
Blowfish,Linux,1.13,9.57,42.42,362.56,Medium,High
ECC,MacOS,9.92,8.31,40.46,128.45,Low,High
DES,Windows,5.11,3.32,6.23,42.41,Medium,High
ECC,MacOS,6.63,5.42,15.87,264.24,Low,Medium
RSA,Android,6.36,3.63,24.82,82.59,High,Low
Blowfish,MacOS,2.16,1.32,39.72,442.12,Low,High
DES,iOS,6.79,4.11,5.39,404.42,Medium,Medium
RSA,Windows,3.2,7.23,31.81,230.21,Low,Low
AES,Windows,5.02,2.8,47.1,198.57,Medium,High
RSA,iOS,6.25,4.84,44.25,271.77,Medium,High
ECC,iOS,3.21,3.64,35.89,230.07,Low,High
Blowfish,iOS,0.88,4.03,15.84,88.97,High,Medium
Blowfish,iOS,9.6,9.8,10.11,455.6,Low,High
DES,Linux,5.87,6.71,46.23,422.95,Medium,High
DES,iOS,4.66,1.29,29.6,11.47,Medium,High
Blowfish,Linux,5.43,5.86,25.73,64.91,Low,Low
DES,iOS,4.38,3.99,38.2,200.89,Medium,Low
ECC,iOS,2.04,1.13,35.44,255.81,Low,Medium
ECC,Linux,3.89,4.61,17.66,330.79,High,High
DES,Windows,3.07,6.17,48.36,347.92,Medium,Low
DES,Linux,2.61,0.99,30.11,132.6,High,Low
AES,Linux,4.83,2.54,17.24,365.42,Medium,Medium
RSA,iOS,9.31,3.03,25.28,492.63,Low,Low
AES,iOS,6.07,8.64,35.18,320.11,Medium,High
Blowfish,MacOS,7.41,2.26,15.38,448.26,Medium,Low
Blowfish,iOS,4.98,4.44,33.66,251.72,Low,Low
RSA,Windows,6.82,7.39,26.26,378.03,Low,Low
RSA,Linux,6.92,7.29,26.89,486.16,High,Low
DES,Linux,5.3,6.45,40.73,214.21,High,Medium
DES,MacOS,9.85,4.97,5.44,318.98,High,High
Blowfish,Android,3.96,0.68,12.43,106.26,Medium,Medium
ECC,Windows,0.86,5.78,48.72,74.33,Medium,Medium
ECC,MacOS,5.87,3.49,25.4,225.34,High,Low
RSA,Android,6.22,9.16,24.28,132.48,High,Low
RSA,Android,1.61,3.23,34.95,213.07,High,High
RSA,MacOS,5.05,9.94,17.87,419.18,Medium,Medium
DES,Linux,4.9,5.12,14.28,146.79,Medium,Medium
DES,MacOS,5.81,2.52,42.11,100.03,Medium,High
RSA,Windows,0.94,7.25,25.83,219.86,Medium,High
Blowfish,Linux,9.71,7.1,17.97,382.36,Medium,Low
RSA,Linux,8.74,8.39,42.19,460.58,High,Low
AES,Windows,8.45,5.77,44.3,441.27,High,High
Blowfish,Windows,7.5,9.07,13.59,427.11,Low,High
AES,Linux,9.42,2.43,30.67,470.39,Low,High
DES,Linux,1.03,1.05,20.12,339,Low,High
RSA,Windows,4.81,8.93,29.79,332.38,Medium,Medium
Blowfish,Android,2.56,1.81,24.05,261.29,Medium,Low
ECC,Linux,8.99,2.53,22.66,222.07,Low,Medium
Blowfish,iOS,9.19,3.49,25.84,108.04,Medium,Low
AES,Android,8.5,8.77,41.22,372.69,Low,Medium
ECC,MacOS,7.37,1.11,37.89,118.92,High,Low
Blowfish,MacOS,4.51,2.82,43.58,69.7,High,Low
Blowfish,iOS,8.03,2.61,11.5,367.11,Medium,Low
ECC,Android,3.58,7.52,41.33,474.62,Medium,Low
Blowfish,Windows,8.32,7.96,16.05,339.08,Medium,High
RSA,MacOS,5.34,6.55,35.59,153.95,Low,Low
DES,MacOS,9.8,4.33,21.39,427.68,High,High
RSA,Linux,4.03,3.36,11.26,453.59,Medium,High
RSA,Android,0.56,7.55,22.16,58.92,Low,Medium
ECC,Linux,5.61,8.9,27.11,266.2,Low,Medium
Blowfish,iOS,1.04,1.88,43.33,48.84,Medium,Low
Blowfish,MacOS,5.73,3.93,35.66,111.86,Medium,High
Blowfish,Linux,5.37,6.32,30.83,314.83,Low,High
AES,MacOS,5.91,3.63,47.88,448.62,Medium,Low
ECC,MacOS,3.75,2.82,41.16,344.66,Low,High
Blowfish,Windows,3.64,4.93,8.67,147.36,Low,Medium
Blowfish,iOS,8.23,6.43,12.13,421.71,Medium,Low
ECC,iOS,1.56,1.19,45.98,452.93,High,High
ECC,MacOS,1.03,8.32,19.52,280.29,Low,Medium
AES,Windows,8.03,5.83,28.71,93.69,Low,Low
DES,iOS,3.73,0.6,19.8,197.97,Medium,Low
AES,Windows,1.3,4.45,17.2,167.56,High,Medium
ECC,MacOS,2.69,5.84,25.99,348.91,Medium,Medium
RSA,iOS,1.88,5.48,15.38,393.11,Low,Medium
RSA,Linux,1.69,6.99,10.52,86.24,High,High
ECC,MacOS,8.39,1.66,43.42,51.53,High,High
ECC,iOS,5.29,5.78,13.64,341.37,Low,High
AES,MacOS,3.46,9.39,12.68,42.02,High,Low
RSA,Android,5.22,1.93,32.4,124.32,Medium,Medium
RSA,MacOS,8.52,9.1,24.27,457.26,Low,Low
DES,MacOS,7.11,5.71,11.88,23.2,Low,Low
RSA,Android,4.01,8.08,30.83,246.14,High,Low
DES,iOS,7.87,8.4,23.3,451.53,Medium,Medium
Blowfish,Windows,6.41,2.18,48.18,12.82,Low,Low
AES,MacOS,9.36,5.54,49.75,175.26,Low,High
Blowfish,Windows,8.71,9.14,24.52,237.18,Low,Low
Blowfish,iOS,5.93,8.09,43.04,472.16,High,Low
RSA,MacOS,0.82,4.02,33.58,15.74,Medium,Low
DES,MacOS,3.22,6.87,23.15,66.96,Medium,High
ECC,Android,4.14,2.26,12.76,111.01,Low,Medium
RSA,Windows,1.57,4.59,43.42,454.22,Low,Medium
RSA,Linux,7.21,3.12,30.79,351.62,High,Medium
AES,iOS,4.08,5.23,11.15,107.2,High,Low
AES,Windows,8.05,9.88,49.3,379.59,Low,Medium
Blowfish,Android,8.83,4.94,20.18,322.01,High,Medium
RSA,MacOS,7.41,0.84,37.19,11.3,High,Low
ECC,Windows,6.96,9.2,31.97,399.84,Medium,High
AES,MacOS,4.45,9.33,17.14,121.46,High,Low
Blowfish,Android,1.78,5.81,33.42,284.87,Medium,High
RSA,MacOS,8.75,8.72,11.19,335.54,High,Medium
ECC,MacOS,6.11,2.96,34.46,392.05,Medium,High
RSA,Android,1.13,7.72,40.59,224.6,Low,Medium
AES,iOS,4.64,4.74,14.56,122.59,Medium,Low
Blowfish,Windows,9.62,1.73,44.43,444.83,High,High
AES,Windows,5.76,7.31,24.91,395.25,Medium,High
Blowfish,Windows,5.93,1.75,6.87,129.87,Low,High
ECC,MacOS,3.51,5.5,48.88,58.94,High,High
DES,Android,2.76,7,39.12,177.84,Medium,High
ECC,Windows,2.76,9.71,48.22,301.93,Medium,Low
ECC,iOS,4.86,7.62,43.55,41.94,High,Low
Blowfish,Linux,8.56,9.28,28.64,323.72,Low,High
ECC,iOS,6.14,4.03,47.91,317.37,Medium,Medium
ECC,Windows,7.76,3.34,15.56,233.73,Medium,High
ECC,iOS,2.12,9.44,30.52,69.22,High,High
DES,Linux,5.67,2.88,14.6,24.67,Medium,Low
AES,Windows,9.7,0.7,13.37,146.71,Low,Medium
ECC,Linux,2.61,4.05,35.48,281.05,Low,Low
ECC,Android,4.26,2.02,11.56,28.45,Low,Low
DES,MacOS,1.98,6.86,13.14,228.58,High,High
AES,Linux,4.58,9.6,46.53,253.83,High,High
Blowfish,Windows,5.88,3.15,11.53,150.46,Low,Low
Blowfish,iOS,7.32,6.65,14.35,278.9,Low,Medium
ECC,Windows,4.74,7.71,40.07,247.68,High,Medium
ECC,Windows,5,3.73,42.64,242.47,Medium,High
AES,Linux,4.45,2.46,32.78,351.78,High,High
DES,Linux,6.2,0.71,14.38,28.39,High,High
Blowfish,iOS,7.56,1.87,35.83,343,High,High
ECC,Windows,3.08,6.18,26.07,374.11,Low,High
ECC,Windows,4.45,0.91,40.35,159.1,High,Low
AES,Windows,3.67,8.13,12.34,494.63,Medium,Medium
AES,Android,5.02,0.99,10,385.42,Low,Medium
RSA,Windows,3.34,9.21,8.35,281.56,High,Medium
RSA,Linux,4.58,1.84,46.24,104.13,Low,High
RSA,MacOS,8.67,8.74,34.95,438.33,Medium,Medium
DES,Windows,5.36,9.07,6.81,337.37,High,Low
AES,iOS,4.09,6.84,17.84,399.78,Low,Medium
AES,Linux,0.57,4.52,48.08,307.59,Low,Low
ECC,Android,6.51,7.26,44.84,132.67,High,High
ECC,MacOS,5.97,4.84,12.03,222.43,High,Medium
AES,Android,7,8.52,33.01,132.34,Medium,Medium
DES,iOS,3.02,8.27,46.68,354.22,Medium,Medium
AES,MacOS,3.63,7.72,43.71,273.6,High,Low
DES,Android,9,1.12,40.37,206.92,Low,Medium
DES,Android,5.39,1.8,40.4,185.94,Medium,Medium
AES,MacOS,6.36,9.19,43.79,364.06,Medium,Medium
Blowfish,Linux,2.46,7.3,13.82,284.82,Medium,Medium
Blowfish,iOS,1.87,2.65,24.52,253.49,High,Low
AES,Android,3.59,2.11,11.85,241.85,High,Low
ECC,iOS,9.62,5.01,5.12,394.06,Low,High
RSA,Linux,9.97,5.29,31.7,493.52,High,Medium
DES,Linux,7.9,5.81,43.46,456.43,Medium,Medium
Blowfish,iOS,2.35,1.33,10.65,267.54,Medium,High
Blowfish,Android,5.8,5.86,5.28,70.91,High,High
AES,Windows,6.02,3.91,29.12,91.09,Medium,Medium
ECC,iOS,5.37,2.21,18.19,396.53,High,Low
ECC,MacOS,6.59,6.86,13.41,176.09,Low,High
Blowfish,Android,8.36,1.48,31.94,276.6,High,Medium
DES,Android,8.22,2.77,23.8,194.89,High,Medium
Blowfish,iOS,5.98,6.54,16.16,279.7,Medium,Medium
Blowfish,Windows,5.39,3.7,24.36,361.49,High,Low
DES,Linux,6.06,2.78,40.86,272.73,Medium,High
ECC,MacOS,6.04,1.01,17.29,254.26,Medium,Medium
RSA,Linux,7.29,9.37,15,434.27,High,Low
Blowfish,Android,2.43,4.16,41.31,354.2,Medium,High
AES,MacOS,9.73,9.06,20.4,70.39,Medium,Medium
ECC,Android,9.47,8.13,12.65,62.55,High,Medium
RSA,Linux,4.14,0.66,47.01,444.66,High,Low
Blowfish,Windows,6.98,1.71,10.77,493.31,Medium,Low
AES,Android,2.72,2.71,29.19,285.41,Medium,High
AES,Linux,3.66,4.65,45.67,216.94,High,Low
RSA,Windows,5.18,1.39,41.82,292.82,Medium,High
RSA,Linux,8.53,1.4,42.44,440.17,Medium,Medium
Blowfish,MacOS,5.88,4.12,20.82,200.06,High,Low
AES,MacOS,6.47,2.04,17.78,32.67,Medium,High
Blowfish,Android,8.42,6.2,47.13,450.46,Medium,Medium
AES,Windows,6.91,5.83,18.18,58.17,High,Low
AES,iOS,2.85,4.25,25.27,393.14,Medium,High
Blowfish,Windows,2.91,7.05,22.89,463.18,High,High
AES,iOS,7.14,1.31,44.68,414.86,Low,Low
ECC,MacOS,4.54,5.66,24.98,368.31,Medium,Low
AES,iOS,6.39,3.27,10.72,439.03,Low,High
DES,Windows,8.92,4.41,24.85,361.94,Low,Low
DES,iOS,6.15,8.41,24.53,315.38,High,Medium
RSA,iOS,4.99,4.63,10.39,12.01,Medium,High
Blowfish,MacOS,6.69,4.03,18.59,144.78,High,High
AES,Linux,8.53,1.06,26.19,52.07,Medium,High
Blowfish,Android,2.48,5.86,43.36,291.31,Medium,Medium
AES,Android,6.37,2.84,28.56,113.79,Medium,Medium
Blowfish,iOS,7.23,4.55,26.5,454.57,Medium,High
DES,iOS,9.58,0.92,26.72,125.45,Medium,High
AES,iOS,8.54,9.75,19.02,60.99,Medium,Medium
Blowfish,Android,9.03,5.77,16.81,392.6,Medium,Medium
AES,Linux,8.13,2.43,20.85,320.7,High,Medium
ECC,Linux,7.01,7.01,46.7,338.82,Medium,Low
DES,MacOS,4.79,7.79,24.13,229.24,Low,High
DES,MacOS,9.8,6.49,24.47,335.99,Low,Low
RSA,Linux,4.3,2.17,49.25,164.08,High,Low
Blowfish,MacOS,4.01,9.28,32.1,234.92,High,Low
AES,Linux,7.19,0.52,38.33,422.18,Medium,Medium
RSA,Windows,2.95,9.78,14.84,280.73,Low,High
ECC,iOS,2.52,8.32,17.91,64.33,Medium,Low
RSA,Linux,7.3,9.17,18.04,210.87,Low,High
DES,Android,4,2.31,34.92,161.49,High,High
DES,Windows,5.69,6.96,48.4,20.03,High,Medium
RSA,Android,2.15,5.41,20.42,147.48,Low,Low
Blowfish,Windows,2.97,2.94,30.02,443.12,High,Medium
DES,Android,6.77,9.68,45.14,287.28,Low,Medium
ECC,MacOS,1.49,6.29,7.28,342.25,Low,High
AES,Windows,5.36,3.32,29.82,252.65,Medium,Low
AES,Windows,2.58,2.64,14.1,289.09,Low,High
RSA,MacOS,3.07,5.61,36.9,28.3,Low,Medium
AES,Windows,8.86,9.28,41.78,376.08,High,Low
DES,Linux,6.74,6.72,15.53,143.37,Low,Low
ECC,Linux,1.81,1.74,36.97,318.24,High,Low
RSA,Android,4.69,1.28,34.66,281.26,Low,Medium
DES,iOS,9.09,5.91,6.5,271.68,Low,Medium
Blowfish,Android,1.55,6.05,9.31,488.01,Low,Low
ECC,iOS,9.51,7.13,9.83,188.06,High,Medium
RSA,Linux,2.66,4.37,23.09,108.55,Low,Low
RSA,MacOS,4.74,3.36,36.98,160.11,High,High
DES,MacOS,8.91,2.8,7.95,18.24,Medium,Low
Blowfish,iOS,5.3,6.94,12.44,70.78,High,Medium
RSA,MacOS,8.93,9.39,21.55,205.39,Medium,Low
RSA,Android,8.62,1.2,8.79,204.44,Medium,Low
ECC,Linux,5.52,0.91,6.05,274.48,Medium,Medium
RSA,Linux,5.76,3.48,24.57,455.31,Medium,High
DES,iOS,3.83,2.09,26.19,342.35,Low,High
Blowfish,MacOS,5.04,2.72,29.59,254.58,Medium,Low
ECC,iOS,6.35,6.4,7.79,30.68,Medium,High
RSA,Windows,9.3,0.92,8.2,232.6,Medium,Low
Blowfish,MacOS,1.55,2.82,26.6,26.45,Low,High
DES,iOS,0.8,8.45,13.45,300.74,Medium,Medium
DES,Android,5.07,4.12,23.08,119.5,High,Medium
AES,iOS,8.76,4.5,46.82,63.68,High,High
Blowfish,MacOS,9.97,6.68,16.79,113.85,Medium,Medium
Blowfish,Windows,3.4,5.07,33.79,204.72,Medium,High
RSA,iOS,7.57,5.48,40.91,17.41,Low,High
AES,Android,8.89,6.72,13.31,452.67,Low,High
AES,Android,0.87,3.12,44.74,390.9,High,Medium
DES,Android,4.86,7.64,23.81,329.32,High,High
AES,Linux,7.54,6.33,18.18,26.72,Low,Medium
RSA,Windows,1.79,7.03,20.01,349.6,Medium,High
DES,Android,7.04,9.83,44.43,456.48,Medium,Low
Blowfish,Windows,7.54,7.42,23.22,493.11,High,High
DES,MacOS,4.58,4.69,48.49,159.96,Medium,Low
AES,Windows,7.23,4.57,5.42,100.47,High,Low
AES,Windows,5,7.7,11.42,331.27,Low,High
ECC,iOS,2.76,6.21,40.39,212.08,Low,Low
DES,Android,8.61,7.36,22.99,468.94,Low,Medium
DES,Windows,2.8,9.06,26.55,299.51,High,Medium
Blowfish,iOS,2.55,9.79,24.56,212.97,Low,Medium
DES,MacOS,9.32,5.64,27.49,150.88,Low,Low
DES,MacOS,4.3,2.55,37.29,196.52,High,Low
DES,Windows,9,7.22,47.21,406.6,Low,Medium
AES,iOS,0.72,8.31,18.5,196.89,Low,Low
ECC,MacOS,4.97,9.91,29.58,27.71,Low,Low
ECC,Linux,8.12,3.99,40.49,433.32,High,High
Blowfish,Android,2.6,1.25,28.7,196.71,High,Low
RSA,MacOS,0.66,8.92,24.5,270.3,Medium,Low
AES,iOS,5.05,9.15,48.34,125.59,Medium,Low
AES,MacOS,4.45,6.46,37.53,317.98,Medium,Low
RSA,Windows,8.2,7.08,27.15,415.13,Medium,Low
AES,Linux,4.7,2.43,45.23,123.51,High,Medium
ECC,iOS,3.87,5.92,14.33,134.33,High,Low
AES,Android,2.87,1.59,32.53,368.96,Medium,Medium
AES,iOS,4.78,1.98,41.82,133.88,High,Low
AES,MacOS,5.5,7.74,39.44,305.34,High,Low
Blowfish,Linux,6.73,5.33,21.84,199.63,Low,High
DES,Linux,9.4,4.78,19.51,408.79,Low,Medium
DES,Windows,9.48,6.25,18.97,320.18,Medium,Low
ECC,MacOS,9.56,6.35,5.9,92.57,Medium,Low
AES,Linux,2.1,3.52,16.86,399.76,High,Medium
ECC,Linux,8.3,4.72,30.23,187.69,Low,Medium
AES,Android,8.66,3.36,31.93,457.47,High,Medium
Blowfish,Windows,5.85,5.92,38.61,21.68,Low,Low
DES,Linux,9.18,4.79,42.33,324.48,Low,Medium
Blowfish,MacOS,9.16,4.06,8.59,258.66,High,Low
DES,Linux,8.43,6.72,25.58,123.08,High,High
AES,Android,8.4,0.82,23.46,128.58,Medium,High
AES,MacOS,7.64,5.3,22.12,109.62,High,Medium
DES,Android,6.96,3.2,28.61,100.89,Medium,Low
RSA,Windows,3.8,5.83,26.04,65.99,Low,Medium
Blowfish,Android,5.72,2.59,5.89,275.6,Low,Medium
AES,iOS,4.72,9.75,17.16,11.89,Low,Medium
ECC,Linux,6.04,3.27,38.19,181.57,Low,Low
RSA,Linux,5.34,5.43,11.81,394.73,Low,High
ECC,Android,6.7,2.01,25.43,84.93,Medium,High
DES,Windows,6.32,1.73,14.63,485.39,High,Low
Blowfish,Linux,6.77,2.14,48.65,39.01,Low,Medium
Blowfish,Windows,1.15,2.67,9.08,243.77,Medium,Low
RSA,MacOS,5.09,5.13,13.76,474.66,Low,Medium
RSA,MacOS,7.38,1.71,47.85,237.55,Medium,Medium
Blowfish,Windows,8.26,3.7,46.72,37.31,High,High
AES,Android,3.4,8.74,25.77,116.22,High,Medium
DES,Windows,7.5,8.08,39,58.87,High,High
AES,Android,3.79,1.26,38.69,464.01,Low,Medium
Blowfish,Linux,4.59,1.49,32.37,360.14,High,High
DES,iOS,9.95,4.43,19.14,134.16,Medium,Medium
RSA,iOS,3.37,7.59,10.19,165.12,Medium,High
DES,Windows,3.73,0.56,42.61,412.3,High,Medium
Blowfish,Linux,6.02,5.68,37.68,52.15,High,Low
RSA,MacOS,7.74,5.07,9.72,479.31,High,Medium
Blowfish,MacOS,3.97,4.89,39.57,328.44,High,Low
RSA,Linux,6.28,3.67,31.62,238.48,Low,High
ECC,Linux,4.43,4.57,14.38,174.71,Medium,Medium
AES,Linux,6.34,2.17,7.28,13.02,Medium,Medium
DES,Linux,9.63,7.82,37.07,239.78,High,High
ECC,Android,1.46,6.94,16.26,218.16,Medium,Low
DES,MacOS,5.51,4.12,48.08,257.51,Low,Medium
DES,Android,7.99,1.35,32.12,496.68,Low,Low
ECC,iOS,2.49,3.42,46,406.62,High,Low
DES,iOS,5.08,2.48,20.31,360.42,High,Low
DES,Windows,2.83,7.59,23.99,440.49,Medium,High
ECC,Linux,3.59,4.53,35.17,78.1,Low,Low
AES,iOS,2.06,5.42,31.02,150.39,High,Low
DES,iOS,5.63,4.14,42.23,468.95,Medium,High
ECC,Android,5.73,4,39.12,71.99,Medium,Medium
Blowfish,Android,2.23,9.74,19.02,128.58,High,Medium
RSA,Linux,7.58,6.16,40.74,54.74,High,High
Blowfish,Windows,7.46,8.88,8.33,227.04,Medium,Low
AES,MacOS,3.53,7.83,40.64,329.46,High,High
DES,iOS,7.47,6.63,41.15,396.88,Low,Low
Blowfish,iOS,4.9,9.08,32.14,207.64,High,Low
AES,Windows,8.23,7.14,9.05,23.08,High,Medium
DES,Android,9.97,5.13,49.67,309.53,High,High
ECC,iOS,0.63,3.65,49.45,403.2,High,Low
ECC,iOS,0.72,8.23,8.86,126.66,Low,High
AES,Linux,6.06,9.47,23.25,482.29,Low,High
DES,MacOS,5.67,2.14,33.61,393.52,High,High
Blowfish,MacOS,8.88,2.77,29.21,450.2,High,Low
RSA,Linux,9.47,0.6,46.84,139.07,High,High
DES,iOS,0.99,7.57,32.39,485.81,Medium,Low
AES,iOS,2.85,4.46,26.61,215.87,Low,Low
Blowfish,MacOS,0.84,7.2,9.8,343.47,High,Medium
Blowfish,Linux,3.35,6.05,16.5,183.74,High,Low
ECC,Windows,8.2,6.19,45.57,396.64,High,Medium
AES,Android,7.55,5.91,24.75,151.74,Medium,Medium
DES,MacOS,8.71,9.2,44.17,77.79,Medium,Low
AES,Android,1.87,9.81,27.65,244.89,Medium,Low
DES,MacOS,5.06,1.56,10.45,160.81,Medium,Medium
Blowfish,iOS,7.13,6.49,16.24,478.94,Low,High
DES,Windows,2.56,6.51,37.86,142.04,Low,High
ECC,Android,3.92,1.11,44.98,86.62,High,Low
AES,MacOS,6.21,9.85,36.96,224.15,High,Low
DES,iOS,3.24,8.76,34.01,419.47,Medium,Medium
Blowfish,iOS,9,4.89,8.65,82.2,High,High
Blowfish,Windows,4.84,2.99,9.79,90.72,High,Low
Blowfish,Linux,1.76,4.16,31.54,326.34,High,Low
AES,Android,9.14,8.33,5.21,339.7,Low,Low
Blowfish,iOS,9.41,1.54,48.2,277.68,Low,Low
DES,Linux,2.35,5.38,29.56,22.11,Medium,Medium
ECC,Windows,1.44,7.1,24.64,336.99,Medium,Low
ECC,MacOS,4.83,6.65,45.78,476.94,Medium,Medium
RSA,iOS,9.58,4.33,26.72,333.62,High,Medium
RSA,iOS,9.24,2.4,18.85,426.76,Medium,Medium
RSA,Linux,3.63,3.87,17.76,68.18,Medium,High
ECC,Linux,9.71,3.33,49.15,51.45,High,Low
Blowfish,MacOS,4.4,9.62,22.74,280.69,Medium,Medium
AES,Windows,6.6,8.69,12.49,193.9,Medium,Low
AES,MacOS,2.84,5.91,22.57,134.29,High,Low
